,ISOALPHA-3code,Numericalcode,languages_spoken
0,AFG,4,
1,ALA,248,
2,ALB,8,3
3,DZA,12,
4,ASM,16,
5,AND,20,2
6,AGO,24,
7,AIA,660,
8,ATG,28,
9,ARG,32,
10,ARM,51,
11,ABW,533,
12,AUS,36,
13,AUT,40,6
14,AZE,31,
15,BHS,44,
16,BHR,48,
17,BGD,50,
18,BRB,52,
19,BLR,112,2
20,BEL,56,3
21,BLZ,84,
22,BEN,204,
23,BMU,60,
24,BTN,64,
25,BOL,68,
26,BES,535,
27,BIH,70,3
28,BWA,72,
29,BRA,76,
30,VGB,92,
31,BRN,96,
32,BGR,100,1
33,BFA,854,
34,BDI,108,
35,CPV,132,
36,KHM,116,
37,CMR,120,
38,CAN,124,
39,CYM,136,
40,CAF,140,
41,TCD,148,
42,None,830,
43,CHL,152,
44,CHN,156,
45,HKG,344,
46,MAC,446,
47,COL,170,
48,COM,174,
49,COG,178,
50,COK,184,
51,CRI,188,
52,CIV,384,
53,HRV,191,11
54,CUB,192,
55,CUW,531,
56,CYP,196,1
57,CZE,203,14
58,PRK,408,
59,COD,180,
60,DNK,208,2
61,DJI,262,
62,DMA,212,
63,DOM,214,
64,ECU,218,
65,EGY,818,
66,SLV,222,
67,GNQ,226,
68,ERI,232,
69,EST,233,1
70,ETH,231,
71,FRO,234,1
72,FLK,238,
73,FJI,242,
74,FIN,246,3
75,FRA,250,1
76,GUF,254,
77,PYF,258,
78,GAB,266,
79,GMB,270,
80,GEO,268,
81,DEU,276,16
82,GHA,288,
83,GIB,292,3
84,GRC,300,5
85,GRL,304,
86,GRD,308,
87,GLP,312,
88,GUM,316,
89,GTM,320,
90,GGY,831,1
91,GIN,324,
92,GNB,624,
93,GUY,328,
94,HTI,332,
95,VAT,336,2
96,HND,340,
97,HUN,348,7
98,ISL,352,4
99,IND,356,
100,IDN,360,
101,IRN,364,
102,IRQ,368,
103,IRL,372,2
104,IMN,833,
105,ISR,376,
106,ITA,380,5
107,JAM,388,
108,JPN,392,
109,JEY,832,
110,JOR,400,
111,KAZ,398,
112,KEN,404,
113,KIR,296,
114,KWT,414,
115,KGZ,417,
116,LAO,418,
117,LVA,428,1
118,LBN,422,
119,LSO,426,
120,LBR,430,
121,LBY,434,
122,LIE,438,1
123,LTU,440,1
124,LUX,442,3
125,MDG,450,
126,MWI,454,
127,MYS,458,
128,MDV,462,
129,MLI,466,
130,MLT,470,2
131,MHL,584,
132,MTQ,474,
133,MRT,478,
134,MUS,480,
135,MYT,175,
136,MEX,484,
137,FSM,583,
138,MCO,492,1
139,MNG,496,
140,MNE,499,5
141,MSR,500,
142,MAR,504,
143,MOZ,508,
144,MMR,104,
145,NAM,516,
146,NRU,520,
147,NPL,524,
148,NLD,528,8
149,NCL,540,
150,NZL,554,
151,NIC,558,
152,NER,562,
153,NGA,566,
154,NIU,570,
155,NFK,574,
156,MNP,580,
157,NOR,578,6
158,OMN,512,
159,PAK,586,
160,PLW,585,
161,PAN,591,
162,PNG,598,
163,PRY,600,
164,PER,604,
165,PHL,608,
166,PCN,612,
167,POL,616,16
168,PRT,620,2
169,PRI,630,
170,QAT,634,
171,KOR,410,
172,MDA,498,3
173,REU,638,
174,ROU,642,9
175,RUS,643,
176,RWA,646,
177,BLM,652,
178,SHN,654,
179,KNA,659,
180,LCA,662,
181,MAF,663,
182,SPM,666,
183,VCT,670,
184,WSM,882,
185,SMR,674,1
186,STP,678,
187,none,680,
188,SAU,682,
189,SEN,686,
190,SRB,688,16
191,SYC,690,
192,SLE,694,
193,SGP,702,
194,SXM,534,
195,SVK,703,10
196,SVN,705,4
197,SLB,90,
198,SOM,706,
199,ZAF,710,
200,SSD,728,
201,ESP,724,7
202,LKA,144,
203,PSE,275,
204,SDN,729,
205,SUR,740,
206,SJM,744,
207,SWZ,748,
208,SWE,752,6
209,CHE,756,4
210,SYR,760,
211,TJK,762,
212,THA,764,
213,MKD,807,5
214,TLS,626,
215,TGO,768,
216,TKL,772,
217,TON,776,
218,TTO,780,
219,TUN,788,
220,TUR,792,
221,TKM,795,
222,TCA,796,
223,TUV,798,
224,UGA,800,
225,UKR,804,1
226,ARE,784,
227,GBR,826,13
228,TZA,834,
229,USA,840,
230,VIR,850,
231,URY,858,
232,UZB,860,
233,VUT,548,
234,VEN,862,
235,VNM,704,
236,WLF,876,
237,ESH,732,
238,YEM,887,
239,ZMB,894
240,ZWE,716
