,"Unnamed: 0","ID","Tag","Name in English","Name in French","Name in Spanish","Countries","Country codes alpha 3","ISO639-3 codes","Degree of endangerment","Alternate names","Name in the language","Number of speakers","Sources","Latitude","Longitude","Official Language","Description of the location","Description","SearchTerm"
0,3,335,"id335","Belarusian","biélorusse","bielorruso","Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BLR, LVA, LTU, POL, RUS, UKR","bel","Vulnerable",,,4000000,"Hienadź Cychun: Weißrussisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 563–579.",53.956,27.5756,,"Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries","Belarusian (/bɛləˈruːsiən/; беларуская мова bielaruskaja mova [bʲelaˈruskaja ˈmova]) is an official language of Belarus, along with Russian, and is spoken abroad, chiefly in Russia, Ukraine, and Poland. Before Belarus gained independence from the Soviet Union in 1991, the language was known in English as Byelorussian or Belorussian, transliterating the Russian name, белорусский язык, or alternatively as White Ruthenian (/ruːˈθiːniən/) or White Russian (with the meaning Rus' but not Russia). Following independence, it also became known as Belarusian.","Belarusian language"
1,5,405,"id405","Romani","romani","romaní","Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BLR, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE","rmc, rmf, rml, rmn, rmo, rmw, rmy","Definitely endangered","sinti, vlax,  calò",,3500000,"Yaron Matras: Romani: a linguistic introduction. Cambridge: Cambridge University Press,  2002.",46.3165,22.3681,,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans","Romani (/ˈroʊməni/; also Romany, Gypsy, or Gipsy; Romani: romani čhib) is any of several languages of the Romani people belonging to the Indo-Aryan branch of the Indo-European language family. According to Ethnologue, seven varieties of Romani are divergent enough to be considered languages of their own. The largest of these are Vlax Romani (about 500,000 speakers), Balkan Romani (600,000), and Sinte Romani (300,000).","Romani language"
2,29,1024,"id1024","Eastern Slovak","slovaque oriental","eslovaco oriental","Slovakia, Ukraine","SVK, UKR","slk","Vulnerable",,,1000000,"Aleksandr D. Duličenko: Ostslowakisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 355–358.",48.8068,21.7968,,"Spiš, Šariš, Zemplín and Abov regions in eastern Slovakia; a regional language not recognized by the SIL","The Slovak language is a West Slavic language. Historically, it forms a dialect continuum with the Czech language. Its standard orthography is based on the work of Ľudovít Štúr published in the 1840s.","History of the Slovak language"
3,31,407,"id407","Rusyn","ruthène","rutenio","Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR","rue","Vulnerable","Ruthenian, Carpatho-Rusyn. Dialects: Lemko (Lemke), Boyko, Hutzulian",,1000000,"Русиньскый язык. Redaktor naukowy Paul Robert Magocsi. Opole: Uniwersytet Opolski, Instytut Filologii Polskej, 2004. || Marc Stegherr: Rusinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 399–408. || Encyclopedia of Rusyn history and culture. Paul Robert Magocsi and Ivan Pop, editors. Toronto: University of Toronto Press, 2002.",48.4437,22.9394,,"Trans-Carpathian region of Ukraine","Rusyn /ˈruːsᵻn/ (Rusyn: русиньска бесїда or русиньскый язык), also known in English as Ruthene UK /rʊˈθiːn/ US /ruːˈθiːn/ (sometimes Ruthenian), is a Carpathian Ukrainian language version spoken by the Rusyns of Eastern Europe and historically in Central Europe. There are controversial political implications about the nature of Rusyn as a language or dialect. Some linguists treat it as a distinct language (with its own ISO 639-3 code), whereas some Ukrainian scholars of Slavic languages treat it as a dialect of Ukrainian.","Rusyn language"
4,41,1523,"id1523","Polesian","polésien","polesio","Belarus, Poland, Ukraine","BLR, POL, UKR",,"Vulnerable",,,800000,"Aleksandr D. Duličenko: Westpolesisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 581–587.",51.8629,23.9501,,"the south-west of Belarus, the north-west of the Ukraine and adjacent Poland; a regional language not recognized by the SIL","The West Polesian microlanguage, (Native name: Заходышнополіська волода, Zakhodyshnopoliska voloda; Ukrainian: Західнополіська мікромова, Zakhidnopolis'ka mikromova, Belarusian: Заходнепалеская мікрамова, Zakhodniepalieskaya mikramova) or dialect is spoken in Southwestern Belarus, in Northwestern Ukraine and in the bordering regions of Poland. It is also considered a Slavic microlanguage, in effect a transitional language between the Ukrainian and the Belarusian.","West Polesian microlanguage"
5,97,401,"id401","Plautdietsch","plautdietsch","bajo alemán","Ukraine","UKR","pdt","Definitely endangered",,,300000,,47.0738,35.5545,,"originally Khortytsya and Molochna near Zaporizhzhya; émigré communities in other parts of the Ukraine and in what is now withing the Russian Federation and further in the Americas; last speakers in the Ukraine were deported during the Second World War to Central Asia and Siberia; many speakers have recently emigrated to Germany; an outlying dialect of Low Saxon","Plautdietsch /plaʊt diːtʃ/ ( listen ), or Mennonite Low German, was originally a Low Prussian dialect of East Low German, with Dutch influence, that developed in the 16th and 17th centuries in the Vistula delta area of Royal Prussia. The word is the form, in that language, of Plattdeutsch ( listen ) (Low German). Plaut is the same word as German platt or Dutch plat, meaning 'flat' or 'low' (referring to the plains of northern Germany), and the name Dietsch corresponds etymologically to Dutch Duits and German Deutsch (both meaning ""of the Tribe"" i. e. ""German""), which originally meant 'vernacular language' in all the continental West Germanic languages.","Plautdietsch language"
6,98,1078,"id1078","Pontic Greek","grec pontique","póntico","Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","ARM, GEO, GRC, RUS, TUR, UKR","pnt","Definitely endangered",,,300000,"Georges Drettas: Aspects pontiques. Paris: Association de Recherche Pluridisciplinaires (ARP), 1997.",40.847,40.0149,,"originally along the Black Sea coast of Turkey and adjacent Georgia; some speakers remain in the towns of Of and Sürmene, but most have emigrated to Greece; émigré communities also in southern Russia and the Caucasus; an outlying dialect of Greek","Pontic Greek (ποντιακά) is a Greek language originally spoken in the Pontus area on the southern shores of the Black Sea, northeastern Anatolia, the Eastern Turkish/Caucasus province of Kars, southern Georgia and today mainly in northern Greece. The linguistic lineage of Pontic Greek stems from Ionic Greek via Koine and Byzantine Greek and contains influences from Georgian, Russian, Turkish and to a lesser extent, Persian (via Ottoman Turkish) and various Caucasian languages. Its Ophitic variant has been identified as the living language that is closest to Ancient Greek.","Pontic Greek"
7,129,389,"id389","Gagauz (Bessarabia)","gagaouze (Bessarabia)","gagauso (Besarabia)","Republic of Moldova, Ukraine","MDA, UKR","bgx, gag","Definitely endangered",,,180000,"Wolfgang Schulze: Gagausisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 781–786.",46.0922,28.7951,,"since eighteenth- and nineteenth-century immigration, Gagauz has been spoken in the Bujak region, which covers the towns and surrounding areas of Comrat, Ceadîr-Lunga, Basarabeasca, Taraclia and Vulcăneşti in the south of the Republic of Moldova and the adjacent Izmail region of Odessa (Odesa) Province in the Ukraine","The Gagauz language (Gagauz: Gagauz dili, Gagauzca) is a Turkic language spoken by the ethnic Gagauz people of Moldova, Ukraine, Russia, and Turkey, and it is the official language of the Autonomous Region of Gagauzia in Moldova. Gagauz belongs to the Oghuz branch of Turkic languages, alongside Azeri, Turkmen, Crimean Tatar, and Turkish. ","Gagauz language"
8,167,342,"id342","Crimean Tatar (Crimea)","tatar de Crimée (Crimée)","tártaro crimeano (Crimea)","Ukraine","UKR","crh, jct","Severely endangered","крымскотатарский (ru)",,100000,"С. Р. Изидинова: Крымскотатарский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997.",45.3212,34.3212,,"originally spoken in the central parts of the Crimea, but most speakers were deported to Central Asia after the Second World War; many have now returned; includes Krimchak (Judeo-Crimean Tatar)","Crimean Tatar (Crimean Tatar: Къырымтатарджа Qırımtatarca, Къырымтатар тили Qırımtatar tili), also called Crimean Turkish or simply Crimean, is a language spoken for centuries in Crimea. It is a Turkic language spoken in Crimea and the Crimean Tatar diasporas of Uzbekistan, Turkey, Romania and Bulgaria, as well as small communities in the United States and Canada. It should not be confused with Tatar proper, spoken in Tatarstan and adjacent regions in Russia; the languages are related but not mutually intelligible.","Crimean Tatar language"
9,396,1337,"id1337","Mariupolitan Greek","grec de Marioupol","mauropoliano","Ukraine","UKR","ell","Severely endangered","Crimean Greek; Tauro-Romaic",,20000,,47.1364,37.5444,,"originally the south of the Crimea, from where its speakers moved to the shores of the Azovan Sea in the Ukraine in the 1770s, and founded the city of Mariupol’ (Zhdanov) and several villages in what is now Donets’k (Donetsk) Province; an outlying dialect of Greek not listed separately by the SIL","Hellenic is the branch of the Indo-European language family whose principal member is Greek. In most classifications, Hellenic consists of Greek alone, but some linguists use the term Hellenic to refer to a group consisting of Greek proper and other varieties thought to be related but different enough to be separate languages, either among ancient neighbouring languages or among modern spoken dialects.","Hellenic languages"
