name,parent,extinct
Germanic languages,,
East Germanic,Germanic languages,extinct
Gothic,East Germanic,
Vandalic,East Germanic,
Burgundian,East Germanic,
Crimean Gothic,East Germanic,
North Germanic,Germanic languages,
East,North Germanic,
Danish,East,
Bornholmsk,Danish,
Jutlandic,Danish,
Gutnish,East,
Swedish,East,
Kalix,Swedish,
Westrobothnian,Swedish,
Jamtlandic,Swedish,
Scanian,Swedish,
Elfdalian,East,
West,North Germanic,
Icelandic,West,
Faroese,West,
Norn,West,extinct
Norwegian,West,
Bokmål,Norwegian,
Nynorsk,Norwegian,
Høgnorsk,Norwegian,
Sognamål,Norwegian,
Stavangersk,Norwegian,
Trøndersk,Norwegian,
Hallingmål-Valdris,Norwegian,
Vestlandsk,Norwegian,
Arendalsk,Norwegian,
Bergensk,Norwegian,
Sandnes,Norwegian,
Vikværsk,Norwegian,
Meldal,Norwegian,
Trondheimsk,Norwegian,
Brønnøy,Norwegian,
West Germanic,Germanic languages,
High German languages,West Germanic,
German,High German languages,
East Franconian,High German languages,
Yiddish,High German languages,
Bavarian,High German languages,
Cimbrian,Bavarian,
Hutterite,Bavarian,
Mòcheno,Bavarian,
Lombardic,High German languages,extinct
Wymysorys,High German languages,
Central German,High German languages,
Luxembourgish,Central German,
Ripuarian,Central German,
Colognian,Ripuarian,
Riograndenser Hunsrückisch,Central German,
Hessian,Central German,
Palatinate German,Central German,
Pennsylvania German,Central German,
Thuringian,Central German,
Upper Saxon,Central German,
Erzgebirgisch,Central German,
Silesian German,Central German,
High Prussian,Central German,
Lusatian,Central German,
Upper German,High German languages,
Alemannic,Upper German,
Alsatian,Alemannic,
Swabian,Alemannic,
High Alemannic,Alemannic,
Highest Alemannic,Alemannic,
Low Alemannic,Alemannic,
Colonia Tovar,Alemannic,
Low German,West Germanic,
East Low German,Low German,
Plautdietsch,East Low German,
Brandenburgisch,East Low German,
Mecklenburgisch,East Low German,
Low Prussian,East Low German,
East Pomeranian,East Low German,
West Low German,Low German,
Westphalian,West Low German,
Eastphalian,West Low German,
Northern Low Saxon,West Low German,
Hamburgisch,West Low German,
East Frisian Low Saxon,West Low German,
Gronings,West Low German,
Stellingwarfs,West Low German,
Drèents,West Low German,
Tweants,West Low German,
Achterhooks,West Low German,
Sallaans,West Low German,
Urkers,West Low German,
Veluws,West Low German,
Low Franconian languages,West Germanic,
Dutch,Low Franconian languages,
Flemish,Dutch,
West Flemish,Dutch,
Afrikaans,Dutch,
Hollandic,Dutch,
Brabantian,Dutch,
Limburgish,Low Franconian languages,
Zeelandic,Low Franconian languages,
Anglo-Frisian languages,West Germanic,
Frisian languages,Anglo-Frisian languages,
Eiderstedt Frisian,Frisian languages,extinct
North Frisian,Frisian languages,
Saterland Frisian,Frisian languages,
West Frisian,Frisian languages,
English,Anglo-Frisian languages,
Scots,Anglo-Frisian languages,
